dirname,filename,molecule_name,distance,fci_energy,1st_excited_energy,nfev,qc_energy_0,qc_energy_1,time_elapsed
H6_line_sto-3g,H6_line_sto-3g_singlet_1.10.hdf5,H6line,1.1,-3.200684281,-2.880193977,222,-3.006524128,-2.43465559,43.02689338
H6_line_sto-3g,H6_line_sto-3g_singlet_1.20.hdf5,H6line,1.2,-3.151729141,-2.890590049,222,-2.960515243,-2.123324773,43.08204269
H6_line_sto-3g,H6_line_sto-3g_singlet_1.30.hdf5,H6line,1.3,-3.097825647,-2.887273474,222,-2.602851802,-1.744744653,43.00451136
H6_line_sto-3g,H6_line_sto-3g_singlet_1.40.hdf5,H6line,1.4,-3.044600244,-2.877098628,997,-2.962073482,-2.485670796,191.0831058
H6_line_sto-3g,H6_line_sto-3g_singlet_1.50.hdf5,H6line,1.5,-2.995565426,-2.864310143,222,-2.887274795,-2.395365944,43.05491924
H6_line_sto-3g,H6_line_sto-3g_singlet_1.60.hdf5,H6line,1.6,-2.952668364,-2.851422578,665,-2.822550752,-2.323388543,127.5887148
H6_line_sto-3g,H6_line_sto-3g_singlet_1.70.hdf5,H6line,1.7,-2.916689243,-2.83978841,665,-2.757777256,-2.238386029,127.6505053
H6_line_sto-3g,H6_line_sto-3g_singlet_1.80.hdf5,H6line,1.8,-2.887569376,-2.829993513,554,-2.700582041,-2.186327574,106.6788034
H6_line_sto-3g,H6_line_sto-3g_singlet_1.90.hdf5,H6line,1.9,-2.864702878,-2.822144898,222,-2.649141153,-2.145894949,43.08158469
H6_line_sto-3g,H6_line_sto-3g_singlet_2.00.hdf5,H6line,2,-2.847192134,-2.816081321,665,-2.601585983,-2.107363491,127.980247
H6_ring_sto-3g,H6_ring_sto-3g_singlet_0.50.hdf5,H6ring,0.5,-1.732927599,-0.347910514,443,-0.174454188,0.383980212,83.47597814
H6_ring_sto-3g,H6_ring_sto-3g_singlet_0.60.hdf5,H6ring,0.6,-2.529472737,-1.444157079,111,-0.71471213,-0.583203733,21.1887989
H6_ring_sto-3g,H6_ring_sto-3g_singlet_0.70.hdf5,H6ring,0.7,-2.935541581,-2.068995341,111,-0.53241875,-1.143512509,21.28364825
H6_ring_sto-3g,H6_ring_sto-3g_singlet_0.80.hdf5,H6ring,0.8,-3.134937156,-2.434334301,665,-2.895197694,-1.928655241,125.3896067
H6_ring_sto-3g,H6_ring_sto-3g_singlet_0.90.hdf5,H6ring,0.9,-3.219318405,-2.648378959,775,-2.969508419,-2.091038448,146.4407103
H6_ring_sto-3g,H6_ring_sto-3g_singlet_1.00.hdf5,H6ring,1,-3.237476731,-2.771399804,333,-2.970848773,-2.30709018,63.35539293
H6_ring_sto-3g,H6_ring_sto-3g_singlet_1.10.hdf5,H6ring,1.1,-3.217049146,-2.838463587,222,-2.863919559,-2.230875077,42.12278652
H6_ring_sto-3g,H6_ring_sto-3g_singlet_1.20.hdf5,H6ring,1.2,-3.174998026,-2.870745915,222,-2.799544491,-2.13632563,42.50226808
H6_ring_sto-3g,H6_ring_sto-3g_singlet_1.30.hdf5,H6ring,1.3,-3.122533779,-2.881621329,3432,-2.780680231,-2.352993526,652.184025
H6_ring_sto-3g,H6_ring_sto-3g_singlet_1.40.hdf5,H6ring,1.4,-3.067345931,-2.879866593,222,-2.671699006,-2.295970255,42.62127924
H6_ring_sto-3g,H6_ring_sto-3g_singlet_1.50.hdf5,H6ring,1.5,-3.014648381,-2.871342847,665,-2.890833997,-2.491435001,126.2416008
H6_ring_sto-3g,H6_ring_sto-3g_singlet_1.60.hdf5,H6ring,1.6,-2.967690754,-2.859930285,222,-2.790408316,-2.363302436,42.56990719
H6_ring_sto-3g,H6_ring_sto-3g_singlet_1.70.hdf5,H6ring,1.7,-2.928060017,-2.848091053,222,-2.701467019,-2.274725888,42.249295
H6_ring_sto-3g,H6_ring_sto-3g_singlet_1.80.hdf5,H6ring,1.8,-2.896015095,-2.837244284,222,-2.558017896,-2.159690535,42.52664948
H6_ring_sto-3g,H6_ring_sto-3g_singlet_1.90.hdf5,H6ring,1.9,-2.870937349,-2.828054983,222,-2.357566547,-1.973163965,42.59663558
H6_ring_sto-3g,H6_ring_sto-3g_singlet_2.00.hdf5,H6ring,2,-2.851785932,-2.820682928,665,-2.500851284,-2.094407572,126.0802963
LiH_sto-3g,LiH_sto-3g_singlet_0.50.hdf5,LiH,0.5,-7.050225035,-6.990633485,995,-7.042807877,-6.956655879,173.5856042
LiH_sto-3g,LiH_sto-3g_singlet_0.60.hdf5,LiH,0.6,-7.319318938,-7.238551987,543,-7.313802961,-7.211189256,95.10490179
LiH_sto-3g,LiH_sto-3g_singlet_0.70.hdf5,LiH,0.7,-7.505051767,-7.402653427,995,-7.500999332,-7.381657712,173.3969791
